1,1,91,467,258,646,0
1,2,634,125,661,146,0
2,1,71,485,240,671,0
2,2,631,124,659,148,0
3,1,42,512,214,711,0
4,1,15,539,189,749,0
5,1,0,565,166,786,0
6,1,0,591,144,824,0
7,1,0,619,119,867,0
7,3,604,140,635,160,0
8,1,0,648,95,915,0
8,3,602,140,634,162,0
9,1,0,678,71,969,0
9,3,597,139,633,164,0
10,1,0,708,49,1007,0
10,3,593,140,633,166,0
11,1,0,744,27,1036,0
12,3,587,146,619,171,0
13,3,587,148,616,174,0
14,3,588,150,614,176,0
15,3,587,152,613,178,0
29,4,477,198,528,234,0
30,4,470,202,524,241,0
31,4,460,214,506,248,0
32,4,449,218,499,254,0
33,4,439,218,499,260,0
34,4,429,219,496,267,0
35,4,418,222,491,274,0
36,4,407,226,483,282,0
37,4,395,231,474,289,0
38,4,383,238,464,298,0
39,4,370,244,454,307,0
40,4,357,251,443,316,0
41,4,343,258,432,327,0
42,4,328,266,420,338,0
43,4,312,275,407,349,0
44,4,296,284,393,361,0
45,4,279,294,380,374,0
46,4,261,305,365,388,0
47,4,242,315,350,404,0
48,4,222,327,334,420,0
49,4,202,339,317,437,0
50,4,180,352,299,456,0
51,4,157,367,280,477,0
52,4,133,382,260,498,0
53,4,109,399,239,521,0
54,4,84,417,217,547,0
55,4,58,436,194,574,0
56,4,31,456,170,603,0
57,4,5,479,145,634,0
58,4,0,503,119,669,0
59,4,0,529,92,704,0
60,4,0,557,64,735,0
61,4,0,586,35,766,0
234,5,906,854,1145,1079,0
235,5,900,788,1131,1078,0
236,5,895,718,1106,1026,0
237,5,891,650,1083,940,0
238,5,888,592,1062,849,0
239,5,885,542,1045,766,0
240,5,883,500,1031,695,0
241,5,881,465,1018,635,0
242,5,880,434,1007,584,0
243,5,878,408,997,541,0
244,5,878,385,988,504,0
245,5,878,365,981,472,0
246,5,877,347,975,444,0
247,5,876,331,969,420,0
248,5,875,314,963,398,0
249,5,875,300,959,378,0
250,5,875,287,954,360,0
250,6,926,877,1187,1078,0
251,5,875,275,950,344,0
251,6,921,813,1182,1079,0
252,5,875,264,947,329,0
252,6,913,742,1157,1064,0
252,7,1297,980,1526,1078,0
253,5,875,254,944,316,0
253,6,908,674,1129,998,0
253,7,1279,940,1530,1079,0
254,5,874,244,941,304,0
254,6,905,614,1105,913,0
254,7,1257,891,1525,1078,0
255,5,874,236,938,293,0
255,6,902,563,1087,829,0
255,7,1238,842,1513,1078,0
256,5,874,228,936,282,0
256,6,899,519,1068,753,0
256,7,1219,795,1490,1078,0
257,5,873,221,933,273,0
257,6,897,482,1051,687,0
257,7,1202,752,1463,1056,0
258,5,874,214,930,264,0
258,6,895,450,1037,630,0
258,7,1185,711,1435,1011,0
259,5,874,208,928,256,0
259,6,894,421,1026,582,0
259,7,1170,673,1409,960,0
260,5,873,203,926,248,0
260,6,892,397,1016,541,0
